Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
Female,Yes,2,Not Graduate,Yes,790000,940000,8200000,120,Semiurban,No
Female,Yes,4,Not Graduate,No,1330000,610000,5000000,60,Urban,No
Male,No,1,Graduate,No,750000,1260000,1700000,180,Semiurban,Yes
Male,Yes,4,Graduate,Yes,1790000,1030000,7000000,240,Semiurban,Yes
Male,No,1,Not Graduate,No,1660000,1830000,2400000,36,Urban,Yes
Male,Yes,3,Not Graduate,Yes,1660000,1200000,7000000,24,Semiurban,Yes
Male,Yes,2,Graduate,Yes,1180000,1860000,2200000,36,Rural,Yes
Male,Yes,2,Not Graduate,No,990000,1030000,7300000,240,Semiurban,Yes
Female,No,2,Graduate,Yes,1190000,650000,3000000,24,Rural,Yes
Female,Yes,1,Not Graduate,No,1340000,690000,7200000,24,Urban,Yes
Male,No,3,Not Graduate,No,1480000,1430000,9900000,180,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1670000,1580000,800000,360,Semiurban,Yes
Female,No,2,Not Graduate,No,1960000,670000,4900000,36,Semiurban,No
Female,No,1,Not Graduate,No,1220000,860000,6100000,60,Rural,Yes
Female,Yes,2,Not Graduate,No,1490000,1000000,1500000,120,Rural,No
Male,Yes,4,Graduate,No,1930000,1160000,7000000,360,Semiurban,No
Male,No,1,Graduate,Yes,1500000,1910000,1300000,240,Urban,No
Female,No,4,Not Graduate,Yes,1010000,1960000,8100000,12,Urban,No
Male,Yes,1,Graduate,No,1610000,1370000,6600000,120,Semiurban,No
Male,Yes,2,Graduate,No,760000,1820000,4600000,120,Semiurban,Yes
Male,No,4,Graduate,No,1140000,1560000,2000000,300,Rural,Yes
Female,Yes,1,Not Graduate,No,600000,880000,8600000,120,Semiurban,No
Female,Yes,2,Graduate,No,1380000,710000,4100000,180,Urban,No
Male,Yes,1,Graduate,No,970000,1670000,3300000,36,Rural,Yes
Male,No,4,Graduate,No,1260000,710000,3600000,60,Rural,No
Male,No,1,Not Graduate,Yes,1500000,1970000,8600000,24,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1600000,1060000,9500000,180,Rural,Yes
Male,No,4,Graduate,Yes,1000000,1790000,8200000,360,Semiurban,Yes
Female,No,2,Not Graduate,Yes,880000,1980000,1300000,240,Semiurban,Yes
Male,Yes,1,Not Graduate,Yes,830000,1650000,1500000,240,Urban,Yes
Male,Yes,1,Not Graduate,No,830000,1640000,2700000,120,Rural,Yes
Male,Yes,3,Not Graduate,No,910000,1510000,2900000,240,Rural,Yes
Female,No,3,Graduate,No,910000,1070000,8600000,12,Rural,No
Female,Yes,2,Not Graduate,Yes,1920000,1280000,1100000,24,Rural,No
Male,No,4,Graduate,Yes,1870000,800000,3700000,240,Urban,No
Female,No,2,Graduate,No,1190000,1110000,5900000,240,Urban,No
Female,No,2,Not Graduate,No,1060000,1640000,9700000,24,Rural,Yes
Female,No,2,Not Graduate,Yes,1610000,1070000,1000000,36,Rural,Yes
Female,No,1,Not Graduate,Yes,730000,1910000,800000,36,Urban,Yes
Female,No,1,Graduate,No,1990000,510000,8500000,36,Rural,No
Female,Yes,2,Not Graduate,No,850000,1720000,9400000,240,Rural,No
Male,No,2,Not Graduate,No,1510000,1960000,2100000,120,Rural,No
Female,Yes,3,Not Graduate,Yes,1010000,610000,3200000,12,Rural,Yes
Female,No,4,Graduate,No,1050000,1450000,600000,60,Semiurban,Yes
Male,Yes,2,Not Graduate,No,1200000,730000,7800000,360,Urban,Yes
Male,No,3,Graduate,Yes,1410000,1560000,9900000,360,Urban,No
Male,No,2,Not Graduate,Yes,650000,1590000,4100000,300,Urban,No
Male,Yes,4,Not Graduate,No,1570000,1990000,8700000,240,Semiurban,No
Female,No,2,Not Graduate,Yes,1330000,1260000,1300000,240,Semiurban,No
Female,No,4,Not Graduate,No,1770000,570000,6200000,180,Semiurban,Yes
Female,Yes,1,Graduate,Yes,860000,1810000,9400000,300,Urban,Yes
Female,Yes,4,Graduate,No,1430000,530000,8600000,36,Rural,No
Male,No,2,Graduate,No,780000,1790000,8600000,240,Rural,Yes
Female,Yes,3,Graduate,Yes,1430000,1890000,1500000,36,Semiurban,No
Female,Yes,1,Not Graduate,No,870000,850000,5000000,12,Urban,Yes
Male,No,3,Graduate,No,1820000,950000,6400000,120,Urban,Yes
Female,Yes,2,Not Graduate,Yes,1240000,1570000,1700000,180,Urban,Yes
Female,No,1,Graduate,Yes,1230000,1930000,3800000,300,Semiurban,Yes
Female,Yes,3,Graduate,Yes,750000,1370000,8500000,360,Semiurban,Yes
Female,No,2,Not Graduate,Yes,850000,920000,9800000,240,Rural,Yes
Male,No,3,Not Graduate,Yes,830000,1460000,2300000,24,Semiurban,Yes
Male,No,4,Not Graduate,Yes,1630000,1550000,6800000,180,Urban,Yes
Male,Yes,4,Graduate,Yes,1430000,1790000,3100000,24,Urban,No
Male,No,2,Graduate,Yes,1320000,1960000,3400000,12,Semiurban,Yes
Male,Yes,3,Not Graduate,No,1890000,530000,2300000,360,Semiurban,Yes
Female,No,2,Graduate,No,1560000,1910000,6300000,60,Rural,No
Female,No,3,Not Graduate,Yes,1340000,1320000,3100000,24,Semiurban,No
Male,No,1,Not Graduate,Yes,1910000,1660000,7900000,60,Urban,No
Male,Yes,2,Not Graduate,No,1870000,1930000,3800000,240,Rural,No
Male,No,2,Graduate,Yes,980000,1720000,4100000,180,Rural,No
Female,No,3,Not Graduate,No,630000,1170000,2000000,60,Urban,No
Male,Yes,2,Not Graduate,No,1390000,1590000,8700000,120,Urban,Yes
Female,No,1,Not Graduate,Yes,1530000,1970000,6400000,360,Urban,Yes
Female,No,3,Graduate,No,1140000,1280000,5700000,120,Rural,No
Female,Yes,3,Graduate,No,570000,1580000,7100000,300,Semiurban,No
Female,Yes,3,Not Graduate,Yes,1890000,1550000,4400000,120,Rural,No
Male,Yes,1,Graduate,No,1810000,1430000,600000,36,Rural,No
Female,No,1,Graduate,No,760000,1870000,4100000,360,Rural,No
Female,Yes,2,Graduate,No,670000,930000,1600000,60,Semiurban,No
Male,No,3,Graduate,No,1870000,660000,2200000,360,Rural,No
Female,No,1,Graduate,No,1660000,1310000,7700000,12,Semiurban,Yes
Female,Yes,4,Graduate,Yes,1950000,1410000,3500000,360,Semiurban,Yes
Female,Yes,2,Graduate,Yes,1640000,1920000,5300000,12,Semiurban,No
Male,No,1,Not Graduate,No,1440000,1340000,5200000,300,Urban,No
Female,Yes,1,Graduate,No,1580000,1660000,6500000,24,Urban,No
Female,Yes,1,Not Graduate,Yes,1610000,1500000,3400000,60,Urban,Yes
Male,No,2,Not Graduate,Yes,1970000,1750000,5500000,180,Rural,No
Male,Yes,1,Graduate,Yes,930000,1070000,8500000,36,Rural,No
Female,Yes,1,Not Graduate,No,690000,1180000,8100000,180,Urban,Yes
Female,Yes,4,Not Graduate,Yes,790000,1580000,6400000,360,Rural,No
Male,No,4,Not Graduate,Yes,830000,1650000,1900000,60,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,1130000,790000,7500000,36,Rural,No
Male,Yes,1,Graduate,No,1740000,1170000,4600000,12,Rural,No
Female,No,4,Graduate,No,1770000,1180000,8400000,36,Urban,Yes
Male,No,3,Not Graduate,Yes,1440000,1090000,5800000,240,Rural,Yes
Female,No,4,Not Graduate,No,950000,760000,6900000,60,Rural,Yes
Male,No,4,Not Graduate,Yes,1850000,1590000,2000000,360,Semiurban,Yes
Male,Yes,1,Graduate,Yes,510000,1370000,4600000,240,Rural,No
Male,No,3,Not Graduate,No,560000,1770000,6900000,36,Rural,Yes
Male,No,4,Graduate,No,1990000,970000,4800000,360,Rural,Yes
Male,Yes,1,Graduate,Yes,810000,1060000,500000,240,Semiurban,Yes
Female,No,3,Not Graduate,No,1470000,1350000,5400000,60,Rural,No
Female,No,4,Not Graduate,No,1790000,1850000,6500000,120,Urban,No
Male,Yes,1,Graduate,No,1630000,790000,9000000,60,Rural,No
Female,No,3,Not Graduate,No,1700000,1830000,9600000,300,Semiurban,Yes
Female,No,4,Not Graduate,Yes,1280000,1960000,3900000,36,Urban,Yes
Female,Yes,3,Not Graduate,Yes,760000,500000,2200000,300,Semiurban,No
Female,Yes,3,Graduate,Yes,1050000,1560000,5900000,24,Semiurban,No
Female,Yes,1,Not Graduate,Yes,590000,1990000,5200000,60,Urban,No
Female,Yes,2,Graduate,Yes,860000,1580000,4800000,120,Semiurban,No
Male,Yes,3,Not Graduate,No,1190000,1450000,1500000,60,Urban,Yes
Female,Yes,3,Graduate,No,1900000,930000,2100000,24,Semiurban,No
Female,Yes,3,Graduate,Yes,1180000,1920000,4300000,60,Urban,No
Female,Yes,3,Not Graduate,Yes,1570000,740000,4100000,180,Urban,Yes
Male,Yes,3,Graduate,Yes,790000,960000,9900000,60,Semiurban,Yes
Female,Yes,2,Not Graduate,Yes,540000,1620000,4500000,24,Rural,No
Female,Yes,1,Not Graduate,No,570000,1140000,5900000,36,Urban,Yes
Female,Yes,2,Not Graduate,No,1760000,1570000,10000000,300,Rural,No
Male,No,1,Not Graduate,No,550000,1710000,6600000,24,Urban,No
Female,Yes,2,Not Graduate,No,820000,600000,3700000,120,Urban,No
Male,Yes,1,Not Graduate,No,850000,900000,5400000,240,Semiurban,No
Female,Yes,4,Graduate,No,760000,1070000,4200000,60,Urban,Yes
Male,Yes,3,Graduate,No,790000,780000,2000000,360,Semiurban,No
Male,Yes,1,Not Graduate,Yes,620000,920000,3800000,36,Rural,Yes
Male,No,1,Graduate,Yes,1730000,1430000,8200000,300,Urban,Yes
Female,No,3,Not Graduate,Yes,1860000,710000,4000000,240,Rural,No
Male,No,4,Not Graduate,No,1190000,830000,1900000,24,Urban,Yes
Male,No,3,Graduate,No,500000,950000,8500000,24,Rural,Yes
Male,Yes,1,Graduate,Yes,1290000,1010000,6000000,240,Rural,Yes
Male,No,1,Not Graduate,Yes,1510000,1420000,6100000,120,Semiurban,No
Female,No,3,Not Graduate,No,1430000,1900000,7700000,180,Semiurban,No
Female,Yes,2,Not Graduate,No,1320000,1870000,8200000,36,Semiurban,No
Female,No,3,Not Graduate,No,1350000,1130000,9200000,120,Semiurban,No
Female,No,1,Graduate,No,1100000,1880000,1500000,60,Urban,No
Male,Yes,1,Graduate,No,1380000,1220000,9700000,12,Semiurban,No
Female,Yes,1,Not Graduate,No,1720000,1990000,9300000,24,Semiurban,No
Male,No,4,Graduate,Yes,1850000,1790000,7200000,300,Urban,Yes
Female,Yes,3,Graduate,No,1280000,1120000,10000000,180,Rural,No
Female,No,4,Graduate,Yes,960000,1030000,3600000,360,Urban,Yes
Female,Yes,3,Graduate,Yes,870000,1670000,7100000,240,Rural,No
Male,No,4,Not Graduate,Yes,1980000,1380000,1000000,24,Semiurban,No
Female,No,2,Not Graduate,No,1570000,900000,2300000,12,Urban,No
Female,No,1,Not Graduate,No,1370000,1170000,2100000,360,Semiurban,Yes
Female,Yes,1,Graduate,Yes,1290000,660000,5200000,24,Urban,No
Male,Yes,3,Graduate,No,1240000,1080000,6800000,360,Rural,Yes
Female,No,1,Not Graduate,No,770000,1960000,900000,60,Urban,Yes
Female,Yes,4,Not Graduate,Yes,1710000,580000,7800000,60,Semiurban,No
Male,Yes,2,Not Graduate,Yes,1170000,1670000,9500000,360,Rural,Yes
Male,No,4,Not Graduate,Yes,1480000,580000,4000000,360,Rural,No
Female,Yes,4,Graduate,No,1450000,1460000,10000000,24,Urban,Yes
Female,Yes,3,Not Graduate,No,1640000,1850000,6100000,24,Semiurban,Yes
Female,No,1,Not Graduate,No,720000,1760000,8900000,24,Semiurban,Yes
Male,No,4,Not Graduate,Yes,1720000,1780000,10000000,360,Semiurban,Yes
Male,Yes,3,Graduate,No,1260000,930000,4700000,36,Rural,Yes
Male,Yes,4,Graduate,No,1140000,1400000,8300000,12,Rural,Yes
Female,Yes,4,Not Graduate,No,1130000,530000,7700000,24,Rural,Yes
Male,No,4,Graduate,Yes,1200000,1070000,600000,240,Rural,No
Female,Yes,3,Graduate,Yes,1390000,1290000,4900000,12,Semiurban,No
Male,Yes,2,Not Graduate,No,1040000,1690000,7400000,180,Rural,No
Male,Yes,4,Not Graduate,Yes,610000,1030000,9500000,180,Urban,Yes
Male,Yes,4,Graduate,Yes,950000,1910000,8900000,240,Urban,No
Female,Yes,3,Not Graduate,No,1440000,900000,3800000,12,Semiurban,Yes
Female,Yes,1,Graduate,No,1620000,1980000,2600000,300,Semiurban,No
Female,No,2,Graduate,Yes,1500000,1470000,1200000,300,Rural,Yes
Female,No,3,Graduate,No,1990000,500000,2400000,24,Rural,Yes
Male,No,1,Graduate,No,1530000,1200000,6200000,360,Urban,No
Female,Yes,3,Not Graduate,No,800000,1050000,4200000,36,Rural,Yes
Male,Yes,3,Not Graduate,No,1420000,1210000,1300000,180,Urban,No
Female,No,2,Not Graduate,No,710000,1810000,2300000,36,Rural,Yes
Female,No,2,Not Graduate,No,990000,1950000,3600000,60,Urban,Yes
Male,No,2,Graduate,No,1510000,1060000,7900000,240,Urban,No
Male,No,2,Graduate,Yes,1430000,1900000,6600000,36,Semiurban,No
Female,No,1,Graduate,No,1840000,640000,9600000,36,Urban,Yes
Female,Yes,4,Graduate,No,1510000,1770000,4000000,12,Semiurban,Yes
Male,Yes,3,Not Graduate,Yes,970000,1200000,2500000,180,Urban,No
Male,Yes,2,Graduate,No,1050000,1780000,7000000,12,Semiurban,No
Male,Yes,4,Graduate,No,1060000,560000,7500000,24,Semiurban,No
Male,Yes,1,Not Graduate,No,1810000,1900000,9300000,12,Rural,Yes
Male,No,2,Not Graduate,Yes,920000,1600000,4600000,360,Semiurban,Yes
Female,No,3,Graduate,No,1120000,830000,6100000,120,Semiurban,Yes
Female,Yes,4,Graduate,No,1180000,1650000,8900000,300,Urban,No
Female,No,2,Not Graduate,Yes,1120000,740000,8100000,360,Rural,No
Female,Yes,3,Not Graduate,Yes,1560000,670000,9400000,12,Semiurban,No
Male,Yes,4,Not Graduate,No,960000,920000,9100000,180,Semiurban,Yes
Male,No,3,Graduate,No,840000,1840000,1700000,300,Rural,Yes
Male,Yes,1,Graduate,No,690000,1870000,4000000,180,Urban,Yes
Female,Yes,2,Graduate,No,1620000,1480000,9700000,240,Rural,Yes
Male,Yes,2,Not Graduate,Yes,1290000,1940000,1300000,36,Semiurban,No
Male,No,3,Not Graduate,No,1520000,650000,8800000,300,Semiurban,Yes
Female,No,4,Not Graduate,Yes,1940000,840000,8900000,12,Rural,No
Female,Yes,2,Graduate,No,1880000,1810000,4500000,180,Urban,No
Female,Yes,3,Graduate,Yes,790000,1610000,7600000,120,Urban,Yes
Male,No,1,Not Graduate,No,1250000,960000,3000000,300,Semiurban,Yes
Male,No,2,Not Graduate,Yes,1280000,990000,4200000,60,Rural,No
Female,No,3,Not Graduate,Yes,590000,1310000,9500000,120,Urban,Yes
Female,No,4,Graduate,No,1560000,1120000,5800000,180,Urban,Yes
Male,Yes,2,Graduate,No,880000,1250000,9100000,180,Semiurban,No
Female,Yes,2,Not Graduate,No,1280000,1940000,9900000,240,Semiurban,No
Male,Yes,1,Not Graduate,Yes,1110000,1850000,1800000,120,Urban,No
Female,No,3,Graduate,No,600000,1990000,2100000,360,Urban,No
Female,No,4,Not Graduate,No,1470000,1100000,6600000,180,Semiurban,No
Female,Yes,1,Not Graduate,Yes,1530000,1000000,7600000,60,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1810000,890000,6600000,12,Semiurban,Yes
Male,Yes,1,Graduate,No,1460000,620000,6700000,36,Rural,No
Female,No,3,Graduate,Yes,1200000,1120000,1400000,360,Urban,No
Male,Yes,3,Graduate,Yes,910000,1430000,1900000,36,Rural,Yes
Female,Yes,2,Graduate,Yes,740000,1600000,6200000,120,Rural,No
Female,Yes,3,Graduate,Yes,940000,730000,9900000,12,Urban,Yes
Male,Yes,1,Graduate,Yes,760000,1860000,2700000,36,Rural,No
Male,No,3,Graduate,Yes,1800000,1510000,3800000,180,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1940000,800000,2700000,360,Semiurban,No
Male,Yes,2,Not Graduate,No,1990000,1090000,8900000,300,Rural,Yes
Female,Yes,1,Graduate,No,1220000,740000,7800000,300,Rural,Yes
Male,Yes,2,Not Graduate,No,1840000,1090000,2600000,300,Semiurban,Yes
Male,No,3,Graduate,No,780000,530000,4600000,120,Rural,Yes
Female,Yes,2,Graduate,No,890000,970000,3300000,240,Rural,No
Female,Yes,2,Graduate,No,1830000,910000,5300000,360,Semiurban,Yes
Female,No,3,Not Graduate,No,680000,1680000,2100000,60,Rural,Yes
Female,Yes,2,Graduate,Yes,1990000,1540000,3200000,60,Semiurban,Yes
Male,Yes,3,Not Graduate,No,1120000,1340000,4400000,24,Rural,Yes
Male,Yes,1,Graduate,No,1220000,1590000,2700000,360,Rural,No
Female,Yes,2,Not Graduate,Yes,920000,920000,4800000,36,Semiurban,No
Female,No,4,Graduate,Yes,580000,940000,500000,120,Urban,No
Male,No,4,Not Graduate,No,1200000,1130000,4600000,120,Urban,No
Male,No,1,Graduate,Yes,1780000,730000,7000000,360,Urban,No
Male,No,3,Not Graduate,No,1820000,1810000,2100000,60,Urban,No
Male,No,3,Not Graduate,Yes,1190000,1440000,1700000,36,Urban,Yes
Male,No,2,Not Graduate,No,1630000,620000,1100000,12,Rural,Yes
Female,Yes,2,Graduate,Yes,870000,1680000,3000000,60,Rural,Yes
Female,Yes,4,Not Graduate,Yes,1130000,1770000,6200000,24,Urban,Yes
Female,Yes,4,Graduate,No,1790000,1470000,9600000,240,Rural,No
Female,Yes,3,Graduate,No,950000,990000,7500000,300,Rural,No
Male,No,4,Not Graduate,No,1150000,1750000,7700000,24,Urban,No
Female,Yes,3,Not Graduate,No,590000,1660000,9300000,60,Semiurban,No
Male,Yes,1,Not Graduate,No,1170000,850000,6600000,12,Urban,Yes
Male,No,1,Not Graduate,Yes,1640000,1430000,4500000,12,Semiurban,Yes
Male,Yes,4,Graduate,Yes,590000,840000,4800000,240,Semiurban,No
Male,Yes,2,Not Graduate,No,1550000,1950000,1200000,24,Semiurban,Yes
Male,No,4,Not Graduate,Yes,840000,1770000,6700000,300,Semiurban,Yes
Male,Yes,4,Graduate,Yes,770000,1310000,1100000,360,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1470000,1970000,7400000,240,Urban,Yes
Female,No,2,Graduate,Yes,810000,1580000,1400000,12,Rural,Yes
Male,Yes,4,Not Graduate,No,630000,1790000,3100000,36,Rural,No
Female,Yes,2,Not Graduate,Yes,550000,950000,8800000,60,Rural,Yes
Female,Yes,4,Not Graduate,No,690000,1400000,700000,300,Semiurban,Yes
Male,Yes,2,Not Graduate,Yes,810000,580000,3400000,240,Urban,No
Male,Yes,2,Graduate,Yes,1940000,1460000,9800000,24,Semiurban,No
Female,No,2,Not Graduate,No,650000,930000,10000000,240,Semiurban,No
Female,Yes,2,Graduate,No,1740000,1280000,9900000,60,Semiurban,Yes
Female,Yes,2,Graduate,Yes,1760000,650000,2500000,240,Semiurban,No
Female,Yes,1,Not Graduate,No,1550000,1960000,8800000,180,Semiurban,No
Male,No,3,Not Graduate,Yes,1250000,1400000,8000000,120,Semiurban,Yes
Male,No,3,Not Graduate,No,1870000,1190000,3900000,24,Urban,No
Male,No,2,Not Graduate,No,1860000,1530000,5600000,60,Urban,No
Female,Yes,3,Not Graduate,Yes,1770000,1520000,2200000,240,Rural,Yes
Male,Yes,2,Graduate,Yes,900000,1670000,9100000,120,Rural,No
Female,Yes,4,Graduate,Yes,1970000,1040000,6400000,36,Semiurban,No
Male,Yes,1,Not Graduate,Yes,1420000,1710000,3200000,360,Urban,No
Female,Yes,4,Not Graduate,Yes,1050000,1950000,8200000,36,Urban,No
Male,No,4,Graduate,No,1510000,510000,7600000,180,Urban,Yes
Male,Yes,2,Graduate,Yes,1780000,1460000,8400000,300,Rural,Yes
Female,Yes,4,Not Graduate,No,830000,740000,6200000,60,Urban,Yes
Female,No,1,Graduate,No,530000,520000,6900000,24,Rural,No
Female,No,4,Not Graduate,No,740000,1000000,900000,240,Semiurban,No
Female,No,1,Graduate,No,1240000,1360000,6400000,12,Urban,Yes
Female,No,1,Not Graduate,No,840000,1170000,5900000,300,Rural,No
Male,No,2,Not Graduate,No,1800000,1290000,7300000,360,Urban,Yes
Female,Yes,1,Not Graduate,Yes,1550000,1660000,9100000,300,Urban,No
Male,Yes,4,Graduate,Yes,1880000,1850000,6400000,360,Urban,No
Male,Yes,2,Graduate,No,610000,1400000,2200000,24,Urban,Yes
Male,Yes,1,Graduate,Yes,1840000,1600000,3900000,60,Urban,No
Male,Yes,1,Graduate,Yes,1690000,1940000,7200000,36,Urban,Yes
Male,No,3,Not Graduate,Yes,1380000,500000,9700000,36,Semiurban,No
Female,Yes,2,Not Graduate,Yes,1700000,1190000,8400000,300,Semiurban,No
Female,Yes,3,Graduate,Yes,1800000,1590000,2400000,36,Rural,No
Male,No,1,Graduate,No,1080000,1580000,9100000,240,Rural,Yes
Male,No,3,Not Graduate,Yes,1100000,1650000,7300000,12,Urban,No
Female,Yes,4,Not Graduate,No,1620000,1090000,6800000,36,Urban,No
Female,Yes,4,Graduate,No,1270000,820000,3300000,60,Rural,Yes
Male,No,1,Graduate,Yes,1970000,1050000,6800000,36,Rural,Yes
Female,Yes,3,Graduate,No,760000,1450000,500000,36,Urban,No
Female,No,3,Not Graduate,No,870000,1270000,6900000,24,Urban,Yes
Female,Yes,2,Not Graduate,Yes,1170000,570000,9900000,24,Rural,Yes
Male,No,4,Not Graduate,No,1490000,1360000,4700000,300,Urban,Yes
Female,No,4,Not Graduate,Yes,1650000,970000,7600000,12,Semiurban,Yes
Male,No,2,Graduate,No,830000,1630000,4500000,240,Semiurban,No
Male,Yes,4,Not Graduate,Yes,820000,1920000,10000000,360,Urban,Yes
Male,No,3,Graduate,Yes,1420000,560000,2200000,12,Urban,No
Male,No,3,Not Graduate,No,1130000,1920000,1200000,180,Semiurban,No
Male,Yes,4,Graduate,No,720000,1360000,2900000,240,Semiurban,Yes
Female,Yes,2,Graduate,No,1350000,1450000,4400000,24,Urban,Yes
Male,Yes,1,Not Graduate,No,1200000,1380000,8100000,36,Semiurban,Yes
Male,No,1,Graduate,Yes,630000,770000,5200000,120,Semiurban,Yes
Male,No,1,Graduate,Yes,870000,1610000,2600000,360,Semiurban,Yes
Female,No,1,Not Graduate,No,1180000,1720000,7500000,12,Semiurban,Yes
Female,Yes,3,Graduate,Yes,580000,1550000,10000000,24,Urban,No
Female,Yes,1,Not Graduate,No,1730000,1300000,6800000,60,Urban,Yes
Female,No,3,Not Graduate,No,1800000,1750000,6700000,360,Urban,Yes
Female,Yes,3,Not Graduate,Yes,1350000,1500000,3400000,36,Semiurban,No
Female,Yes,1,Graduate,No,510000,1820000,7200000,24,Semiurban,No
Female,No,1,Graduate,Yes,1890000,1470000,4000000,180,Semiurban,Yes
Male,No,1,Not Graduate,Yes,540000,1390000,6300000,300,Rural,No
Male,Yes,4,Not Graduate,Yes,1600000,1930000,2300000,360,Rural,No
Female,No,4,Graduate,Yes,1790000,860000,3000000,12,Urban,Yes
Male,Yes,2,Not Graduate,Yes,1050000,810000,6100000,360,Semiurban,Yes
Male,Yes,3,Not Graduate,Yes,1610000,1970000,8200000,120,Rural,No
Female,No,1,Not Graduate,Yes,1350000,1090000,5700000,300,Rural,Yes
Male,No,4,Graduate,No,1700000,700000,1900000,300,Urban,No
Male,Yes,2,Graduate,Yes,1450000,1450000,1200000,240,Semiurban,Yes
Female,Yes,3,Graduate,No,1870000,840000,3900000,60,Rural,No
Male,No,3,Not Graduate,Yes,800000,980000,8000000,36,Urban,No
Female,Yes,3,Not Graduate,No,1610000,780000,800000,24,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,590000,1740000,8000000,240,Urban,No
Male,Yes,1,Not Graduate,Yes,750000,1020000,3600000,120,Rural,Yes
Male,Yes,1,Graduate,Yes,1560000,1840000,4500000,240,Semiurban,Yes
Male,Yes,3,Graduate,No,1540000,920000,1400000,60,Rural,No
Female,No,3,Not Graduate,No,1750000,1110000,9300000,180,Urban,No
Female,Yes,2,Graduate,Yes,900000,660000,4700000,60,Rural,No
Female,Yes,2,Not Graduate,No,840000,1490000,4700000,24,Rural,Yes
Male,No,3,Not Graduate,Yes,580000,910000,6800000,12,Semiurban,Yes
Male,No,2,Graduate,No,1990000,1510000,2100000,24,Rural,No
Female,No,4,Graduate,No,530000,1780000,1500000,180,Semiurban,No
Male,Yes,3,Not Graduate,Yes,1150000,860000,6200000,360,Urban,No
Male,Yes,2,Not Graduate,Yes,1190000,720000,4600000,360,Urban,Yes
Female,No,3,Graduate,No,1070000,870000,4900000,360,Semiurban,Yes
Female,No,1,Graduate,No,1730000,1290000,5300000,120,Semiurban,Yes
Male,No,4,Graduate,No,1690000,1290000,3500000,300,Urban,Yes
Female,No,3,Not Graduate,Yes,830000,1340000,8300000,300,Urban,No
Male,No,1,Graduate,No,1090000,520000,1800000,24,Semiurban,Yes
Female,Yes,3,Graduate,Yes,590000,1770000,1500000,240,Semiurban,Yes
Female,No,1,Graduate,No,1660000,1250000,7900000,24,Rural,Yes
Female,Yes,2,Not Graduate,No,900000,870000,2000000,300,Urban,Yes
Male,Yes,1,Graduate,Yes,1350000,1380000,4600000,36,Semiurban,No
Male,No,4,Graduate,Yes,790000,1530000,600000,300,Rural,Yes
Female,No,4,Graduate,Yes,1490000,1200000,9500000,60,Semiurban,Yes
Female,No,2,Graduate,No,1240000,1520000,8900000,120,Urban,Yes
Female,No,3,Not Graduate,No,930000,1190000,5500000,180,Urban,No
Male,No,4,Graduate,No,850000,1350000,4400000,12,Rural,Yes
Female,Yes,2,Not Graduate,Yes,1770000,1010000,10000000,180,Semiurban,Yes
Female,No,4,Graduate,Yes,1140000,1270000,2200000,12,Urban,No
Female,No,2,Graduate,Yes,1060000,1580000,6200000,12,Rural,No
Female,Yes,4,Graduate,No,1120000,1040000,8900000,180,Urban,No
Male,No,2,Graduate,No,1910000,1320000,8200000,360,Rural,Yes
Male,No,4,Graduate,No,1130000,1320000,1400000,120,Rural,Yes
Female,No,3,Graduate,Yes,1510000,1310000,7300000,360,Urban,Yes
Male,Yes,1,Not Graduate,No,1300000,1950000,500000,60,Semiurban,No
Male,No,4,Not Graduate,Yes,1050000,890000,6500000,240,Urban,Yes
Male,No,2,Not Graduate,No,1040000,1080000,1900000,24,Urban,No
Female,No,3,Not Graduate,Yes,1940000,830000,2700000,180,Semiurban,Yes
Male,No,4,Not Graduate,No,1120000,1750000,5800000,240,Rural,Yes
Male,Yes,2,Graduate,No,1540000,1260000,9400000,300,Rural,Yes
Male,No,1,Graduate,Yes,650000,540000,7200000,240,Rural,No
Female,Yes,2,Graduate,Yes,820000,1130000,3000000,240,Semiurban,Yes
Female,No,4,Graduate,Yes,1910000,1020000,9100000,24,Semiurban,No
Male,No,2,Not Graduate,Yes,1640000,880000,9600000,120,Urban,No
Male,No,2,Not Graduate,No,1440000,850000,4700000,300,Urban,No
Female,Yes,1,Graduate,Yes,1560000,1560000,6500000,24,Urban,No
Female,No,4,Graduate,No,910000,660000,8100000,36,Rural,No
Male,No,4,Not Graduate,No,1840000,1460000,2000000,240,Rural,No
Male,Yes,1,Not Graduate,No,1410000,1290000,1400000,24,Urban,No
Female,No,3,Graduate,Yes,1650000,1690000,5900000,300,Rural,Yes
Female,No,2,Not Graduate,Yes,660000,1050000,4700000,180,Semiurban,Yes
Male,No,2,Graduate,Yes,1910000,1920000,5000000,360,Urban,Yes
Female,No,2,Graduate,Yes,1260000,1670000,7800000,12,Rural,No
Male,Yes,4,Not Graduate,Yes,730000,850000,6100000,36,Rural,No
